100	2.478355624035270E-06
200	4.957054505111890E-06
300	7.436096592231430E-06
400	9.915481841086480E-06
500	1.239521024684110E-05
600	1.487528192666570E-05
700	1.735569725349600E-05
800	1.983645702101690E-05
900	2.231756261378840E-05
1000	2.479901616138510E-05
1100	2.728082066378700E-05
1200	2.976298008274160E-05
1300	3.224549939905780E-05
1400	3.472838463889820E-05
1500	3.721164287362680E-05
1600	3.969528219821220E-05
1700	4.217931169301290E-05
1800	4.466374137328230E-05
1900	4.714858213010530E-05
2000	4.963384566584450E-05
2100	5.211954442657210E-05
2200	5.460569153343400E-05
2300	5.709230071444190E-05
2400	5.957938623780860E-05
2500	6.206696284763990E-05
2600	6.455504570254370E-05
2700	6.704365031752900E-05
2800	6.953279250940860E-05
2900	7.202248834580820E-05
3000	7.451275409779280E-05
3100	7.700360619605780E-05
3200	7.949506119058180E-05
3300	8.198713571360960E-05
3400	8.447984644580620E-05
3500	8.697321008541270E-05
3600	8.946724332022610E-05
3700	9.196196280222440E-05
3800	9.445738512465630E-05
3900	9.695352680142400E-05
4000	9.945040424858850E-05
4100	1.019480337678380E-04
4200	1.044464315317650E-04
4300	1.069456135708090E-04
4400	1.094455957617300E-04
4500	1.119463938174760E-04
4600	1.144480232783500E-04
4700	1.169504995043330E-04
4800	1.194538376684920E-04
4900	1.219580527513550E-04
5000	1.244631595361860E-04
5100	1.269691726050560E-04
5200	1.294761063356630E-04
5300	1.319839748988060E-04
5400	1.344927922564690E-04
5500	1.370025721604530E-04
5600	1.395133281514940E-04
5700	1.420250735588340E-04
5800	1.445378215001850E-04
5900	1.470515848820610E-04
6000	1.495663764004220E-04
6100	1.520822085416160E-04
6200	1.545990935835780E-04
6300	1.571170435972480E-04
6400	1.596360704482080E-04
6500	1.621561857984850E-04
6600	1.646774011085220E-04
6700	1.671997276392820E-04
6800	1.697231764544730E-04
6900	1.722477584228850E-04
7000	1.747734842208040E-04
7100	1.773003643345170E-04
7200	1.798284090628670E-04
7300	1.823576285198730E-04
7400	1.848880326373870E-04
7500	1.874196311677860E-04
7600	1.899524336866920E-04
7700	1.924864495957060E-04
7800	1.950216881251590E-04
7900	1.975581583368650E-04
8000	2.000958691268760E-04
8100	2.026348292282350E-04
8200	2.051750472137120E-04
8300	2.077165314985360E-04
8400	2.102592903431060E-04
8500	2.128033318556850E-04
8600	2.153486639950660E-04
8700	2.178952945732260E-04
8800	2.204432312579350E-04
8900	2.229924815753550E-04
9000	2.255430529125970E-04
9100	2.280949525202460E-04
9200	2.306481875148640E-04
9300	2.332027648814460E-04
9400	2.357586914758470E-04
9500	2.383159740271770E-04
9600	2.408746191401550E-04
9700	2.434346332974250E-04
9800	2.459960228618430E-04
9900	2.485587940787170E-04
10000	2.511229530780170E-04
10100	2.536885058765460E-04
10200	2.562554583800730E-04
10300	2.588238163854250E-04
10400	2.613935855825500E-04
10500	2.639647715565390E-04
10600	2.665373797896070E-04
10700	2.691114156630450E-04
10800	2.716868844591320E-04
10900	2.742637913630120E-04
11000	2.768421414645340E-04
11100	2.794219397600620E-04
11200	2.820031911542420E-04
11300	2.845859004617460E-04
11400	2.871700724089700E-04
11500	2.897557116357130E-04
11600	2.923428226968090E-04
11700	2.949314100637350E-04
11800	2.975214781261890E-04
11900	3.001130311936300E-04
12000	3.027060734967940E-04
12100	3.053006091891770E-04
12200	3.078966423484840E-04
12300	3.104941769780610E-04
12400	3.130932170082850E-04
12500	3.156937662979340E-04
12600	3.182958286355280E-04
12700	3.208994077406420E-04
12800	3.235045072651940E-04
12900	3.261111307947060E-04
13000	3.287192818495370E-04
13100	3.313289638860990E-04
13200	3.339401802980380E-04
13300	3.365529344174000E-04
13400	3.391672295157700E-04
13500	3.417830688053850E-04
13600	3.444004554402310E-04
13700	3.470193925171100E-04
13800	3.496398830766970E-04
13900	3.522619301045580E-04
14000	3.548855365321690E-04
14100	3.575107052378960E-04
14200	3.601374390479640E-04
14300	3.627657407374080E-04
14400	3.653956130309990E-04
14500	3.680270586041560E-04
14600	3.706600800838390E-04
14700	3.732946800494210E-04
14800	3.759308610335460E-04
14900	3.785686255229690E-04
15000	3.812079759593800E-04
15100	3.838489147402090E-04
15200	3.864914442194170E-04
15300	3.891355667082690E-04
15400	3.917812844760990E-04
15500	3.944285997510470E-04
15600	3.970775147207950E-04
15700	3.997280315332780E-04
15800	4.023801522973890E-04
15900	4.050338790836630E-04
16000	4.076892139249520E-04
16100	4.103461588170870E-04
16200	4.130047157195250E-04
16300	4.156648865559820E-04
16400	4.183266732150600E-04
16500	4.209900775508550E-04
16600	4.236551013835540E-04
16700	4.263217465000280E-04
16800	4.289900146544010E-04
16900	4.316599075686180E-04
17000	4.343314269330020E-04
17100	4.370045744067910E-04
17200	4.396793516186740E-04
17300	4.423557601673140E-04
17400	4.450338016218600E-04
17500	4.477134775224500E-04
17600	4.503947893807040E-04
17700	4.530777386802070E-04
17800	4.557623268769850E-04
17900	4.584485553999720E-04
18000	4.611364256514650E-04
18100	4.638259390075720E-04
18200	4.665170968186530E-04
18300	4.692099004097540E-04
18400	4.719043510810250E-04
18500	4.746004501081420E-04
18600	4.772981987427110E-04
18700	4.799975982126700E-04
18800	4.826986497226820E-04
18900	4.854013544545210E-04
19000	4.881057135674490E-04
19100	4.908117281985900E-04
19200	4.935193994632940E-04
19300	4.962287284554960E-04
19400	4.989397162480650E-04
19500	5.016523638931520E-04
19600	5.043666724225290E-04
19700	5.070826428479200E-04
19800	5.098002761613300E-04
19900	5.125195733353620E-04
20000	5.152405353235390E-04
